rank_test_score,param_n_neighbors,param_weights,param_p,param_metric,train_rmse,test_rmse
35,17,distance,1,euclidean,0.01225426148188679,0.7730277087673483
37,49,distance,2,manhattan,0.012254261193514002,0.7740700529202035
38,19,distance,1,euclidean,0.012254261520125934,0.7758280055220863
39,9,distance,1,chebyshev,0.012254261193514002,0.7762782432626909
40,11,uniform,1,manhattan,0.7004041013975745,0.7774725257202907
41,53,distance,2,manhattan,0.012254261193514002,0.7776189181062932
42,21,distance,2,minkowski,0.01225426155862491,0.778816009729592
42,21,distance,2,euclidean,0.01225426155862491,0.778816009729592
44,55,distance,1,minkowski,0.012254261193514002,0.7791136899005952
45,23,distance,1,euclidean,0.012254261598183753,0.78071206873989
45,23,distance,2,euclidean,0.012254261598183753,0.78071206873989
47,59,distance,2,manhattan,0.012254261193514002,0.7817366745023936
47,59,distance,1,manhattan,0.012254261193514002,0.7817366745023936
49,11,distance,2,chebyshev,0.012254261193514002,0.7822553921020515
49,11,distance,1,chebyshev,0.012254261193514002,0.7822553921020515
51,61,distance,1,minkowski,0.012254261193514002,0.7835980845474969
52,63,distance,2,manhattan,0.012254261193514002,0.7847922019250247
53,13,uniform,2,manhattan,0.7186519015861305,0.7850283871213088
54,65,distance,2,manhattan,0.012254261193514002,0.7862935424364004
54,65,distance,1,minkowski,0.012254261193514002,0.7862935424364004
56,27,distance,2,euclidean,0.012254261684137452,0.7871465722743093
56,27,distance,2,minkowski,0.012254261684137452,0.7871465722743093
56,27,distance,1,euclidean,0.012254261684137452,0.7871465722743093
59,67,distance,2,manhattan,0.012254261193514002,0.7878236791896973
60,69,distance,1,minkowski,0.012254261193514002,0.7886622574715411
60,69,distance,2,manhattan,0.012254261193514002,0.7886622574715411
62,29,distance,2,euclidean,0.012254261730815145,0.7893377709258184
63,71,distance,2,manhattan,0.012254261193514002,0.7894657276842539
63,71,distance,1,manhattan,0.012254261193514002,0.7894657276842539
65,15,distance,1,chebyshev,0.012254261193514002,0.7898117791883136
66,73,distance,1,minkowski,0.012254261193514002,0.7903163570236292
67,75,distance,1,minkowski,0.012254261193514002,0.7907034114951148
68,15,uniform,1,manhattan,0.7316892677801347,0.7911285725960978
69,33,distance,2,euclidean,0.012254261824212848,0.7922960572373722
69,33,distance,1,euclidean,0.012254261824212848,0.7922960572373722
71,79,distance,1,minkowski,0.012254261193514002,0.7930970445982761
71,79,distance,2,manhattan,0.012254261193514002,0.7930970445982761
73,5,uniform,2,euclidean,0.6374010335514838,0.7937105217667226
73,5,uniform,2,minkowski,0.6374010335514838,0.7937105217667226
75,3,uniform,2,euclidean,0.5397965859288868,0.7943231888494052
75,3,uniform,2,minkowski,0.5397965859288868,0.7943231888494052
77,81,distance,1,minkowski,0.012254261193514002,0.7946572617843343
78,35,distance,2,euclidean,0.01225426187215888,0.7947415352405945
78,35,distance,1,euclidean,0.01225426187215888,0.7947415352405945
80,17,uniform,1,minkowski,0.7438316837567066,0.7954939203901199
81,83,distance,1,minkowski,0.012254261193514002,0.7963194078698982
81,83,distance,1,manhattan,0.012254261193514002,0.7963194078698982
83,19,distance,1,chebyshev,0.012254261193514002,0.7963549578197207
84,37,distance,1,euclidean,0.01225426192115993,0.7970758359830872
84,37,distance,2,minkowski,0.01225426192115993,0.7970758359830872
86,85,distance,2,manhattan,0.012254261193514002,0.7979823790300247
86,85,distance,1,manhattan,0.012254261193514002,0.7979823790300247
88,87,distance,1,manhattan,0.012254261193514002,0.7993218196862923
88,87,distance,2,manhattan,0.012254261193514002,0.7993218196862923
90,7,uniform,2,euclidean,0.6852596302000129,0.799513393440641
90,7,uniform,2,minkowski,0.6852596302000129,0.799513393440641
92,39,distance,1,euclidean,0.012254261971566736,0.7999021193686234
93,21,distance,2,chebyshev,0.012254261193514002,0.8007929763638207
93,21,distance,1,chebyshev,0.012254261193514002,0.8007929763638207
95,41,distance,2,euclidean,0.012254262019458005,0.8009680493070933
95,41,distance,1,euclidean,0.012254262019458005,0.8009680493070933
97,91,distance,2,manhattan,0.012254261193514002,0.8021325082478231
97,91,distance,1,minkowski,0.012254261193514002,0.8021325082478231
99,19,uniform,1,minkowski,0.7544051529948178,0.8024829855418936
100,93,distance,1,manhattan,0.012254261193514002,0.8034965697850255
101,43,distance,2,euclidean,0.012254262068345631,0.8036278566607137
101,43,distance,1,euclidean,0.012254262068345631,0.8036278566607137
103,95,distance,1,manhattan,0.012254261193514002,0.8043723277198889
103,95,distance,2,manhattan,0.012254261193514002,0.8043723277198889
105,23,distance,1,chebyshev,0.012254261193514002,0.8043948722909628
106,45,distance,2,minkowski,0.012254262117658454,0.8045396336117245
107,3,distance,2,chebyshev,0.012254261193514002,0.8051289952537841
107,3,distance,1,chebyshev,0.012254261193514002,0.8051289952537841
109,47,distance,1,euclidean,0.01225426216958153,0.8064086151427028
110,5,uniform,2,chebyshev,0.6582638366281761,0.8085174784414588
111,51,distance,1,euclidean,0.01225426227261379,0.8101846214563916
111,51,distance,2,minkowski,0.01225426227261379,0.8101846214563916
113,21,uniform,2,manhattan,0.7646705770703555,0.8103463261974377
113,21,uniform,1,minkowski,0.7646705770703555,0.8103463261974377
115,27,distance,2,chebyshev,0.012254261193514002,0.8108946382589417
116,53,distance,1,euclidean,0.012254262327462186,0.8121883581560152
116,53,distance,2,minkowski,0.012254262327462186,0.8121883581560152
118,11,uniform,2,euclidean,0.7384215092119844,0.8131060599713253
119,29,distance,1,chebyshev,0.012254261193514002,0.8134981091763757
120,31,distance,2,chebyshev,0.012254261193514002,0.8155564768642763
121,23,uniform,1,minkowski,0.7734961239397828,0.815803987428111
122,57,distance,1,euclidean,0.012254262440664439,0.8164826713614499
123,33,distance,1,chebyshev,0.012254261193514002,0.8182211589871504
124,25,uniform,1,minkowski,0.7813110932992015,0.8189107185071786
125,35,distance,1,chebyshev,0.012254261193514002,0.8218560925781537
126,27,uniform,1,manhattan,0.7877800585567146,0.8228525255160772
127,65,distance,2,minkowski,0.01225426267566419,0.8232657439060683
128,67,distance,2,euclidean,0.012254262736539493,0.82479249027594
