rank_test_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,train_rmse,test_rmse
99,500,10,4,4,0.5,0.39512003234313375,0.6248485119501163
101,500,10,5,4,0.5,0.39512003234313375,0.6248485119501164
102,300,10,5,4,0.5,0.3950723345782089,0.6257154615732978
103,500,10,8,1,0.25,0.3874966617285639,0.6258085724827045
104,200,10,2,4,0.5,0.3952446702068126,0.6267316039791665
105,300,50,8,3,sqrt,0.39816080396147774,0.6286326293546601
106,200,,8,3,sqrt,0.3982326452574633,0.6289167457511078
107,300,10,8,2,0.25,0.40235356393275584,0.6299423037972309
108,200,10,8,2,0.25,0.40269687187052505,0.6304384338527601
109,500,10,4,3,0.25,0.40331343471067055,0.6310812587126945
110,500,10,2,3,0.25,0.40331343471067055,0.6310812587126946
111,200,10,4,3,0.25,0.40227309473577594,0.631222240183223
112,200,50,4,1,1,0.27713856938687886,0.6348142440144462
113,300,,4,1,1,0.2766579550264788,0.6356027267510069
113,300,50,4,1,1,0.2766579550264788,0.6356027267510069
115,500,10,8,3,0.25,0.42069243905586307,0.6356168070592262
116,300,,8,2,log2,0.39523094963583966,0.6360513707701021
117,200,50,8,2,log2,0.3963274945860452,0.636911471207363
118,300,10,2,1,sqrt,0.3983721250540996,0.639866602514207
120,300,10,8,4,0.25,0.4419336185392938,0.6412057294578899
120,300,10,2,4,0.25,0.4419336185392938,0.6412057294578899
119,300,10,4,4,0.25,0.4419336185392938,0.6412057294578899
122,200,10,4,4,0.25,0.44206604225276014,0.6416951397953038
122,200,10,8,4,0.25,0.44206604225276014,0.6416951397953038
122,200,10,5,4,0.25,0.44206604225276014,0.6416951397953038
125,500,10,4,1,sqrt,0.42117688623008215,0.6436306437141102
126,500,50,5,1,1,0.3430981657229149,0.6452087486266145
127,500,50,8,4,sqrt,0.4512232972191196,0.6453693541277166
127,500,,5,4,sqrt,0.4512232972191196,0.6453693541277166
129,200,10,4,1,sqrt,0.4208501291262117,0.6454996418111049
130,200,50,5,4,sqrt,0.4518736816870581,0.6455753836279327
130,200,,4,4,sqrt,0.45187368168705816,0.6455753836279327
130,200,50,2,4,sqrt,0.4518736816870581,0.6455753836279327
133,200,,5,1,1,0.3438479714026912,0.6462995525657115
134,300,,5,1,1,0.34382715532259467,0.6468574766857588
135,200,10,5,1,sqrt,0.4306651371471963,0.6479251099555846
136,500,,4,3,log2,0.4372772006174984,0.6480902476930105
137,300,,4,3,log2,0.4374969128084671,0.6485733651611669
137,300,50,4,3,log2,0.4374969128084671,0.6485733651611669
137,300,,5,3,log2,0.4374969128084671,0.6485733651611669
140,200,,5,3,log2,0.43799264131514937,0.6492558790147077
142,200,,2,3,log2,0.43799264131514937,0.6492558790147077
140,200,50,2,3,log2,0.43799264131514937,0.6492558790147077
143,500,10,4,2,sqrt,0.44401404817619494,0.6510841331839251
144,300,10,2,2,sqrt,0.44329058721321024,0.6520999834546147
145,300,,8,3,log2,0.457396455336912,0.6534343733494005
146,200,10,4,2,sqrt,0.4445517570986284,0.6535179989289539
147,300,10,5,2,sqrt,0.45286830420401075,0.6535641326383321
148,200,,8,3,log2,0.45884268143226986,0.6538722131221019
148,200,50,8,3,log2,0.45884268143226986,0.6538722131221019
150,300,10,8,1,sqrt,0.46555217001696936,0.655909604615413
151,200,10,8,2,sqrt,0.48291026948745747,0.6599064953880261
152,300,10,2,1,log2,0.4544110018512134,0.6642625080787682
153,500,10,2,1,log2,0.4543921842970389,0.6644539514948471
154,500,10,2,3,sqrt,0.49102877550226465,0.6646103347236005
155,200,10,4,3,sqrt,0.49084435549384525,0.664985191680071
156,300,10,8,3,sqrt,0.5038775393560936,0.6680459847838021
157,300,10,4,1,log2,0.4758918546848189,0.67021809831848
158,200,10,4,1,log2,0.4751930805538139,0.670429630170546
159,300,50,8,4,log2,0.5127982819571509,0.6723571003449901
159,300,,4,4,log2,0.5127982819571509,0.6723571003449901
161,200,,2,4,log2,0.5135597307814515,0.6730609112260747
162,500,,2,4,log2,0.5126821427945032,0.6730998010555218
163,500,10,5,1,log2,0.48994466504687983,0.6734261628287972
164,200,10,5,1,log2,0.48826048875887523,0.674239438065292
165,300,10,5,4,sqrt,0.5287166390317475,0.6744667806198237
166,500,50,8,1,1,0.46346182729257096,0.6747954745947965
167,500,10,2,4,sqrt,0.5292491375825223,0.6754473373987208
168,500,10,8,4,sqrt,0.5292491375825223,0.6754473373987208
169,200,10,2,4,sqrt,0.5300620613011808,0.6759666333440654
169,200,10,4,4,sqrt,0.5300620613011808,0.6759666333440654
171,300,10,2,2,log2,0.5062578195004098,0.6779642795499714
172,500,10,4,2,log2,0.5067137894425496,0.6790157157807387
172,500,10,2,2,log2,0.5067137894425495,0.6790157157807387
174,500,10,5,2,log2,0.5151760061616139,0.6823767237750838
175,200,10,8,2,log2,0.5379975475273971,0.6877897547245936
176,500,10,8,2,log2,0.5387603165260737,0.6883056463081947
177,500,10,2,3,log2,0.5521453770691579,0.6929412021052735
178,300,10,5,3,log2,0.5519471864989254,0.6934258844775628
179,500,10,8,4,log2,0.5873989496570786,0.7046935636466126
180,200,10,5,4,log2,0.5880287577403287,0.7060442511578019
180,200,10,4,4,log2,0.5880287577403287,0.7060442511578019
182,300,5,4,4,0.5,0.6746848613102784,0.7484796537465156
183,300,5,4,1,0.5,0.6668680456933106,0.7485410863902411
184,500,5,2,4,0.5,0.6748202990472295,0.748594692812491
184,500,5,4,4,0.5,0.6748202990472295,0.748594692812491
186,200,5,8,2,0.5,0.6711467028059069,0.7499899377478455
187,200,5,4,4,0.5,0.675035914558663,0.7500067595321728
188,200,5,2,3,0.5,0.6716298391454433,0.7504522122027678
188,200,5,4,3,0.5,0.6716298391454433,0.7504522122027678
190,200,5,5,1,0.25,0.6972949596564052,0.7641914525763939
191,500,5,5,1,0.25,0.6981248340394769,0.7643396252955876
192,300,5,8,1,0.25,0.6993230155278354,0.7644588566938902
193,200,5,4,2,0.25,0.6987254130309,0.7648474590816194
194,300,5,5,2,0.25,0.6990921080176699,0.7649942671976517
195,500,5,2,2,0.25,0.6991314871398463,0.7650107826830889
196,200,5,8,2,0.25,0.7007682561184859,0.7656741978680764
197,500,5,4,3,0.25,0.7023102437036031,0.766009203419798
197,500,5,2,3,0.25,0.7023102437036031,0.766009203419798
199,500,5,8,2,0.25,0.7012013652599295,0.7660100861384269
200,300,5,2,3,0.25,0.701683124097446,0.7660644398482038
201,500,5,4,4,0.25,0.7063729788294215,0.7664731415727649
201,500,5,5,4,0.25,0.7063729788294215,0.7664731415727649
203,500,5,8,3,0.25,0.7036462845061098,0.7666180099619601
204,200,5,4,3,0.25,0.7020887118477205,0.7666880306515277
205,300,5,5,2,sqrt,0.7511184015512165,0.7986259742425644
206,300,5,5,1,sqrt,0.7497887984373086,0.7988704421517675
207,300,5,4,1,sqrt,0.7493925997501354,0.7990147855086235
208,500,5,5,2,sqrt,0.7523176980335544,0.7991334275782139
209,500,5,2,2,sqrt,0.751933279534471,0.7991583566014835
210,300,5,8,1,sqrt,0.7521111045291425,0.7994098487513229
211,300,5,2,3,sqrt,0.7550225321705419,0.7998494162295334
212,500,5,2,3,sqrt,0.7561752436197765,0.8001049026061984
213,500,5,8,3,sqrt,0.7567244801129279,0.8005166830372088
214,200,5,8,2,sqrt,0.7548694570695657,0.8006497556583189
215,500,5,4,4,sqrt,0.7596325601667888,0.8007659071816077
216,300,5,4,4,sqrt,0.7592388874463899,0.8008967224917146
216,300,5,2,4,sqrt,0.7592388874463899,0.8008967224917146
216,300,5,8,4,sqrt,0.7592388874463899,0.8008967224917146
219,300,10,2,1,1,0.7259429606391112,0.819640095295987
220,200,5,5,2,log2,0.7871206500109016,0.8243426420091025
221,300,5,5,2,log2,0.7879377133585415,0.8243986549869623
222,200,5,5,1,log2,0.7856420616854004,0.8244112815857217
223,300,5,8,1,log2,0.7879692962199751,0.8247140217256668
224,200,5,8,2,log2,0.7891657019895146,0.8248766625519697
225,500,5,2,1,log2,0.7846505748451716,0.8249645202636574
226,300,5,4,1,log2,0.7854325489797431,0.8251290717796907
227,500,5,5,1,log2,0.7863257774698744,0.8251795223977403
228,300,5,8,2,log2,0.7895693338560119,0.8251869963497129
229,500,5,8,1,log2,0.7881671305223792,0.8254052287821887
230,200,5,8,3,log2,0.7918770450359605,0.8256055651159305
232,500,5,2,2,log2,0.7881246612109692,0.8257033448917906
231,500,5,4,2,log2,0.7881246612109692,0.8257033448917906
233,300,5,4,3,log2,0.7913943640754527,0.8260263191818191
234,300,5,5,3,log2,0.7913943640754527,0.8260263191818192
235,200,5,5,3,log2,0.791596679699603,0.8266568324384095
235,200,5,2,3,log2,0.791596679699603,0.8266568324384095
237,500,5,2,3,log2,0.7919091289074986,0.8267191379273027
238,500,5,8,3,log2,0.7924687955447387,0.8267642360101322
239,200,5,8,4,log2,0.7954417816858156,0.8273066209229603
239,200,5,4,4,log2,0.7954417816858156,0.8273066209229603
241,300,5,5,4,log2,0.7953525627906246,0.8278456303046432
241,300,5,4,4,log2,0.7953525627906246,0.8278456303046432
241,300,5,8,4,log2,0.7953525627906246,0.8278456303046432
244,500,5,2,4,log2,0.7958343369398501,0.8283338822098174
244,500,5,5,4,log2,0.7958343369398501,0.8283338822098174
246,500,10,5,1,1,0.7592303415555633,0.8320255057855367
247,500,,4,2,1,0.80563400991738,0.8701697848328933
248,300,,4,2,1,0.8065704647839511,0.8705113897763617
249,500,,5,2,1,0.8139973344936761,0.8757482549505322
250,300,,5,2,1,0.8139193609231783,0.8758690858847296
251,200,,2,2,1,0.814190547608964,0.8764323506970848
253,500,50,8,2,1,0.826928894624123,0.8803804536208388
252,500,,8,2,1,0.8269288946241229,0.8803804536208388
254,200,,5,2,1,0.8206030244175812,0.8807313229405132
255,200,,8,2,1,0.8328928728527693,0.8851297239219559
256,300,10,4,2,1,0.8898614199451376,0.9257622104120287
257,500,10,5,2,1,0.8932693961077323,0.9277069556328817
258,300,10,8,2,1,0.8984590028535439,0.9293554140303433
259,200,10,4,2,1,0.894475997234955,0.9294714812561091
259,200,10,2,2,1,0.8944759972349549,0.9294714812561091
261,500,,2,3,1,0.9088797541563585,0.9393743338026594
261,500,50,2,3,1,0.9088797541563585,0.9393743338026594
263,500,,8,3,1,0.9098463814022972,0.9403633393539872
264,200,50,4,3,1,0.9103602518494485,0.9407763059389899
265,200,50,8,3,1,0.9108877250603866,0.9409660877751551
266,200,10,8,3,1,0.9420909349191395,0.9635310790343409
267,300,10,5,3,1,0.9419710153237203,0.9636348481613227
268,300,10,2,3,1,0.9419710153237201,0.9636348481613228
269,200,10,2,3,1,0.9458189751683029,0.9665808547184355
270,300,50,2,4,1,0.9550719813955086,0.9744928496199657
270,300,,5,4,1,0.9550719813955086,0.9744928496199657
272,300,50,8,4,1,0.9550719813955086,0.9744928496199659
272,300,50,5,4,1,0.9550719813955086,0.9744928496199659
274,500,,8,4,1,0.9576077862845114,0.9771697772588538
275,200,,2,4,1,0.9594216054897038,0.9783674477597097
275,200,,4,4,1,0.9594216054897039,0.9783674477597097
275,200,50,5,4,1,0.9594216054897038,0.9783674477597097
278,300,10,8,4,1,0.9720353604310438,0.9884486903026423
279,300,10,4,4,1,0.9720353604310439,0.9884486903026424
279,300,10,5,4,1,0.9720353604310439,0.9884486903026424
281,500,10,5,4,1,0.9741776028451615,0.9903785633524487
282,200,10,2,4,1,0.9753143415490964,0.9912707672660365
282,200,10,5,4,1,0.9753143415490964,0.9912707672660365
284,500,5,5,1,1,0.9912711452444903,1.0047071660300861
285,300,5,8,1,1,0.9932035656683607,1.0052936950864202
286,300,5,5,1,1,0.9936260773754879,1.0065061958939758
287,300,5,4,1,1,0.9931570647218145,1.0071949247019585
288,300,5,5,2,1,1.0220126812840222,1.0313905105078813
289,500,5,4,2,1,1.021985656927596,1.0320138783801818
290,300,5,4,2,1,1.022971824588465,1.0327108818865802
