Train,Test,R^2,RMSE,MAE
dft,dft,0.6479653371353182,0.8770115253594096,0.6691715148378709
dft,exp,0.3422099492620089,1.0192215344218758,0.8097667179598234
exp,exp,0.8011394967321077,0.5604013952555826,0.4019881146578801
exp,dft,0.030162124267190116,1.4556674038527209,1.1238995198012884
