rank_test_score,param_rf__n_estimators,param_rf__max_depth,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,train_rmse,test_rmse
151,500,10,4,4,0.25,0.34502276016697125,0.5195092855877209
153,500,10,2,1,log2,0.32220387079245355,0.520581333433964
154,300,10,2,1,log2,0.3230292494362115,0.5213228248972852
155,300,10,6,2,sqrt,0.3441918913345553,0.5217556717951586
156,500,10,6,2,sqrt,0.3435455641853874,0.5218482382638278
157,300,10,4,1,log2,0.33447602192947085,0.5228276812235074
158,500,10,4,1,log2,0.3334770163280262,0.5230612486521659
159,500,,6,1,1,0.3177027185771977,0.5253485154213436
160,300,,6,1,1,0.31833749911724585,0.5257362865621236
161,300,10,6,3,sqrt,0.35840158827813573,0.5262375384562614
161,300,10,4,3,sqrt,0.35840158827813573,0.5262375384562614
163,300,10,2,3,sqrt,0.35840158827813573,0.5262375384562615
164,500,10,4,3,sqrt,0.3582255884711763,0.5264357375349205
164,500,10,2,3,sqrt,0.35822558847117636,0.5264357375349205
164,500,10,6,3,sqrt,0.35822558847117636,0.5264357375349205
167,500,10,6,1,log2,0.34809207196166775,0.5264981870024588
168,300,10,6,1,log2,0.34868703281107705,0.5275601677801143
169,500,,2,4,log2,0.3595226231902797,0.5280812002240284
169,500,,4,4,log2,0.35952262319027967,0.5280812002240284
169,500,,6,4,log2,0.35952262319027967,0.5280812002240284
172,300,10,2,2,log2,0.3527401354499293,0.5290880040970257
173,300,10,4,2,log2,0.3527401354499293,0.5290880040970258
174,500,10,4,2,log2,0.3517653923641668,0.5291467799251631
174,500,10,2,2,log2,0.3517653923641668,0.5291467799251631
176,300,,4,4,log2,0.35968491231780503,0.5293611812907731
176,300,,6,4,log2,0.35968491231780503,0.5293611812907731
178,300,,2,4,log2,0.35968491231780503,0.5293611812907731
179,300,10,6,2,log2,0.3627393658607849,0.530968295828862
180,500,10,6,2,log2,0.36237756678265776,0.5316174201180128
181,300,10,4,4,sqrt,0.38172828169851636,0.5350755688084757
182,300,10,6,4,sqrt,0.38172828169851636,0.5350755688084758
182,300,10,2,4,sqrt,0.38172828169851636,0.5350755688084758
184,500,10,4,4,sqrt,0.38172512423629207,0.5356523647119683
184,500,10,6,4,sqrt,0.38172512423629207,0.5356523647119683
184,500,10,2,4,sqrt,0.38172512423629207,0.5356523647119683
187,500,10,2,3,log2,0.37909702715523563,0.5383126789224326
187,500,10,6,3,log2,0.37909702715523563,0.5383126789224326
189,500,10,4,3,log2,0.37909702715523563,0.5383126789224327
190,300,10,2,3,log2,0.37957498916661464,0.5389289854306437
190,300,10,6,3,log2,0.37957498916661464,0.5389289854306437
190,300,10,4,3,log2,0.37957498916661464,0.5389289854306437
193,500,10,4,4,log2,0.4043379646897507,0.5485422261796119
194,500,10,2,4,log2,0.4043379646897507,0.548542226179612
195,500,10,6,4,log2,0.4043379646897507,0.548542226179612
196,300,10,2,4,log2,0.4052772949831342,0.5495195974651264
196,300,10,6,4,log2,0.4052772949831342,0.5495195974651264
196,300,10,4,4,log2,0.40527729498313414,0.5495195974651264
199,300,7,4,1,0.5,0.42025000320200956,0.5594425802704165
200,500,7,4,1,0.5,0.4203999557753667,0.5596470891243734
201,300,7,2,1,0.5,0.418438462995219,0.5597316473611856
202,500,7,2,1,0.5,0.4186325670810965,0.5597776902853672
203,300,7,6,1,0.5,0.4236706328111736,0.5599074133649998
204,500,7,6,1,0.5,0.4237946922544876,0.560598672126876
205,300,7,2,2,0.5,0.4241361477745924,0.5608845697459827
205,300,7,4,2,0.5,0.4241361477745924,0.5608845697459827
207,500,7,4,2,0.5,0.4239358382821592,0.5610900004286783
208,500,7,2,2,0.5,0.4239358382821592,0.5610900004286784
209,300,7,6,2,0.5,0.4265732274604205,0.5613778957166775
210,500,7,6,2,0.5,0.4270695168762316,0.561621923962985
211,500,7,6,3,0.5,0.4299859413296458,0.5620972220043567
211,500,7,2,3,0.5,0.42998594132964574,0.5620972220043567
211,500,7,4,3,0.5,0.42998594132964574,0.5620972220043567
214,300,7,2,3,0.5,0.4301295926995559,0.5623724265920418
215,300,7,6,3,0.5,0.4301295926995559,0.5623724265920419
215,300,7,4,3,0.5,0.43012959269955586,0.5623724265920419
217,300,7,4,4,0.5,0.43690443305855486,0.5650778197920411
218,300,7,2,4,0.5,0.4369044330585549,0.5650778197920411
218,300,7,6,4,0.5,0.4369044330585549,0.5650778197920411
220,500,7,2,4,0.5,0.43683023280523753,0.5652496762595733
220,500,7,4,4,0.5,0.4368302328052376,0.5652496762595733
222,500,7,6,4,0.5,0.4368302328052376,0.5652496762595733
223,500,7,2,1,0.25,0.4334937022327201,0.5666607914719309
224,300,7,2,1,0.25,0.4339058693623129,0.5670624186546923
225,300,7,4,1,0.25,0.43491394244699483,0.5670958381579603
226,500,7,4,1,0.25,0.4349127178377261,0.5678456048367635
227,300,7,2,2,0.25,0.43904120287454096,0.5678605647732704
227,300,7,4,2,0.25,0.4390412028745409,0.5678605647732704
229,500,7,6,1,0.25,0.4380908996292892,0.5683770848813707
230,500,7,4,2,0.25,0.4387892607343505,0.5685196610697034
230,500,7,2,2,0.25,0.43878926073435043,0.5685196610697034
232,300,7,6,1,0.25,0.4387578506376665,0.5690866187145794
233,300,7,6,2,0.25,0.4416356597295167,0.5692714869584551
234,500,7,6,2,0.25,0.441315277518427,0.5695258136610306
235,500,7,6,3,0.25,0.4454156780872547,0.5717136890606822
235,500,7,2,3,0.25,0.44541567808725474,0.5717136890606822
237,500,7,4,3,0.25,0.4454156780872547,0.5717136890606823
238,300,7,4,3,0.25,0.4460718675854112,0.5727101737582125
239,300,7,2,3,0.25,0.4460718675854112,0.5727101737582126
239,300,7,6,3,0.25,0.4460718675854112,0.5727101737582126
242,500,,4,2,1,0.41977475633715994,0.5727506548110153
241,500,,2,2,1,0.41977475633715994,0.5727506548110153
243,300,7,6,4,0.25,0.45323744387025966,0.5729342286387246
244,300,7,2,4,0.25,0.45323744387025966,0.5729342286387247
244,300,7,4,4,0.25,0.45323744387025966,0.5729342286387247
248,500,7,2,4,0.25,0.4527098654689143,0.5732818665968403
246,500,7,4,4,0.25,0.4527098654689143,0.5732818665968403
246,500,7,6,4,0.25,0.4527098654689143,0.5732818665968403
249,300,,2,2,1,0.41925815916436127,0.5738022859387668
250,300,,4,2,1,0.41925815916436127,0.5738022859387669
251,500,,6,2,1,0.4403320012111591,0.5812229649541849
252,300,,6,2,1,0.44005038188874396,0.5813860179828626
253,500,7,4,1,sqrt,0.46727581310700417,0.5860807396747383
254,500,7,2,1,sqrt,0.4656188229740923,0.5861335139901216
255,300,7,2,1,sqrt,0.4658970075693724,0.5865634960677999
256,500,7,6,1,sqrt,0.4714230510121606,0.5869438189890686
257,300,7,4,1,sqrt,0.46810452516205303,0.5872469466292725
258,300,7,2,2,sqrt,0.47243384076019174,0.5874629522636322
259,300,7,4,2,sqrt,0.47243384076019174,0.5874629522636323
260,500,7,6,2,sqrt,0.4754323742926515,0.5875179689724058
261,500,7,2,2,sqrt,0.47252530869007625,0.5877325187848925
262,500,7,4,2,sqrt,0.47252530869007625,0.5877325187848926
263,300,7,6,1,sqrt,0.4716628928745172,0.5877790260158007
264,300,7,6,2,sqrt,0.4751773472223045,0.5884380113402885
265,300,7,2,3,sqrt,0.48009982595934625,0.5894543339339496
265,300,7,6,3,sqrt,0.4800998259593462,0.5894543339339496
267,300,7,4,3,sqrt,0.4800998259593463,0.5894543339339497
268,500,7,2,3,sqrt,0.4803122004539465,0.589886072446412
269,500,7,4,3,sqrt,0.4803122004539465,0.589886072446412
270,500,7,6,3,sqrt,0.4803122004539465,0.5898860724464121
271,500,7,2,4,sqrt,0.48869831603510927,0.5922807142490814
271,500,7,4,4,sqrt,0.48869831603510927,0.5922807142490814
271,500,7,6,4,sqrt,0.4886983160351092,0.5922807142490814
274,300,7,4,4,sqrt,0.4890111525490824,0.5927247136404834
274,300,7,6,4,sqrt,0.4890111525490824,0.5927247136404834
276,300,7,2,4,sqrt,0.4890111525490824,0.5927247136404835
277,300,10,2,1,1,0.4580604799678475,0.593736495221934
278,500,10,2,1,1,0.45798921120680547,0.5940075589720151
279,300,7,4,1,log2,0.4884580170280789,0.5988278374763882
280,500,7,4,1,log2,0.4879220570543089,0.5988537037030859
281,500,7,2,1,log2,0.4851452214719104,0.5988786869262539
282,300,7,2,1,log2,0.4858156516827572,0.5996383382264308
283,500,7,6,1,log2,0.49168107041924497,0.6001093027152767
284,300,7,6,1,log2,0.49193078419149067,0.6013176925430284
285,500,10,4,1,1,0.4759192891527431,0.6013939537445793
286,500,7,6,2,log2,0.4956489899618056,0.6014206535047941
287,300,10,4,1,1,0.47727928258654856,0.6014357299686223
288,500,7,4,2,log2,0.49301413927679816,0.6014561879495219
289,500,7,2,2,log2,0.49301413927679816,0.601456187949522
290,300,7,2,2,log2,0.49342070402236454,0.6023665150174787
291,300,7,4,2,log2,0.49342070402236454,0.6023665150174788
292,300,7,6,2,log2,0.49548934883867124,0.6029312131168701
294,500,7,4,3,log2,0.5019905937021689,0.6047238933372378
293,500,7,2,3,log2,0.5019905937021689,0.6047238933372378
294,500,7,6,3,log2,0.5019905937021689,0.6047238933372378
296,300,7,4,3,log2,0.5022734775002756,0.6060663424870855
296,300,7,6,3,log2,0.5022734775002757,0.6060663424870855
298,300,7,2,3,log2,0.5022734775002757,0.6060663424870855
299,500,7,4,4,log2,0.510516603167219,0.6071456443644424
300,500,7,2,4,log2,0.5105166031672189,0.6071456443644424
301,500,7,6,4,log2,0.5105166031672189,0.6071456443644425
303,300,7,2,4,log2,0.5103570138721079,0.6074882641295922
302,300,7,6,4,log2,0.5103570138721079,0.6074882641295922
303,300,7,4,4,log2,0.5103570138721079,0.6074882641295922
305,500,10,6,1,1,0.4929139122040234,0.6098870575761732
306,300,10,6,1,1,0.49396654517207245,0.6112086686662407
307,300,,2,3,1,0.5057140285592215,0.6150017285453077
307,300,,6,3,1,0.5057140285592215,0.6150017285453077
307,300,,4,3,1,0.5057140285592215,0.6150017285453077
310,500,,2,3,1,0.5078524595680067,0.6156501823921622
310,500,,6,3,1,0.5078524595680067,0.6156501823921622
312,500,,4,3,1,0.5078524595680067,0.6156501823921623
313,500,10,4,2,1,0.5378473192345105,0.6388222951082433
314,500,10,2,2,1,0.5378473192345106,0.6388222951082434
316,300,10,2,2,1,0.5381508315768145,0.639287995845777
315,300,10,4,2,1,0.5381508315768146,0.639287995845777
317,500,10,6,2,1,0.5446735189955013,0.6404688811272955
318,300,,6,4,1,0.5550015897125615,0.6407572368192451
318,300,,2,4,1,0.5550015897125615,0.6407572368192451
318,300,,4,4,1,0.5550015897125615,0.6407572368192451
321,300,10,6,2,1,0.5446301540714119,0.6413606954925385
322,500,,4,4,1,0.5568475733252244,0.6421187958029971
322,500,,2,4,1,0.5568475733252244,0.6421187958029971
322,500,,6,4,1,0.5568475733252244,0.6421187958029971
325,500,5,6,1,0.5,0.5647037106841557,0.6454707020972602
326,500,5,4,1,0.5,0.5641499136772109,0.6455008125316825
327,300,5,4,1,0.5,0.5643488225205473,0.6457897600116286
328,300,5,6,1,0.5,0.5647199848989828,0.645849145320687
329,500,5,6,2,0.5,0.565129748556659,0.6460490816732241
330,500,5,2,2,0.5,0.5647859326988134,0.6461313733611536
330,500,5,4,2,0.5,0.5647859326988134,0.6461313733611536
332,500,5,6,3,0.5,0.5660129719223599,0.64616495029335
333,500,5,4,3,0.5,0.5660129719223599,0.64616495029335
334,500,5,2,3,0.5,0.5660129719223599,0.6461649502933501
335,300,5,6,2,0.5,0.5650976305886333,0.6463596815006065
336,300,5,4,2,0.5,0.5649436065565316,0.6464262863146604
336,300,5,2,2,0.5,0.5649436065565318,0.6464262863146604
338,300,5,6,3,0.5,0.5660041715575082,0.6464595492772984
338,300,5,2,3,0.5,0.5660041715575082,0.6464595492772984
340,300,5,4,3,0.5,0.5660041715575082,0.6464595492772985
341,500,5,2,1,0.5,0.5644303439615038,0.6466111325082786
342,300,5,2,1,0.5,0.5643009830269602,0.6470291931590975
343,300,5,4,4,0.5,0.5676718325276205,0.647348421766466
343,300,5,2,4,0.5,0.5676718325276205,0.647348421766466
343,300,5,6,4,0.5,0.5676718325276205,0.647348421766466
347,500,5,2,4,0.5,0.5676572733686024,0.6473504403444813
346,500,5,6,4,0.5,0.5676572733686024,0.6473504403444813
347,500,5,4,4,0.5,0.5676572733686024,0.6473504403444813
350,300,5,2,2,0.25,0.5789344068521429,0.6546173201362135
349,300,5,4,2,0.25,0.578934406852143,0.6546173201362135
351,300,5,6,1,0.25,0.5785227744984235,0.6547022186506468
352,500,5,2,1,0.25,0.5775034513977738,0.6547418012354075
353,500,5,6,1,0.25,0.5783651744133816,0.6547481065901541
354,300,5,4,3,0.25,0.5799664202724878,0.654768866495257
355,300,5,6,3,0.25,0.5799664202724878,0.654768866495257
355,300,5,2,3,0.25,0.5799664202724878,0.654768866495257
357,300,5,2,1,0.25,0.5780122034377407,0.6547833996491446
358,300,5,6,4,0.25,0.5816648326460251,0.6548181724173381
358,300,5,2,4,0.25,0.5816648326460251,0.6548181724173381
358,300,5,4,4,0.25,0.5816648326460251,0.6548181724173381
361,300,5,6,2,0.25,0.5792317842004199,0.6549276121873798
362,300,5,4,1,0.25,0.5781433659157001,0.6549426096922734
363,500,5,4,2,0.25,0.5785448661736813,0.6549931610966925
364,500,5,2,2,0.25,0.5785448661736812,0.6549931610966926
365,500,5,6,2,0.25,0.5789941637030386,0.6550794137022222
366,500,5,4,1,0.25,0.5778280911603728,0.6551518587549616
367,500,5,6,3,0.25,0.5798793715545211,0.6552561389132954
367,500,5,2,3,0.25,0.5798793715545211,0.6552561389132954
369,500,5,4,3,0.25,0.5798793715545212,0.6552561389132955
370,500,5,6,4,0.25,0.5812164561312109,0.655395201525737
371,500,5,2,4,0.25,0.5812164561312109,0.655395201525737
372,500,5,4,4,0.25,0.5812164561312109,0.6553952015257372
373,300,10,2,3,1,0.5772349133945549,0.6592905643614267
373,300,10,6,3,1,0.5772349133945549,0.6592905643614267
375,300,10,4,3,1,0.577234913394555,0.6592905643614269
376,500,10,2,3,1,0.5777016397207746,0.6593161448808416
376,500,10,6,3,1,0.5777016397207746,0.6593161448808416
378,500,10,4,3,1,0.5777016397207746,0.6593161448808417
379,300,5,2,1,sqrt,0.6089763105973225,0.6747923182032609
380,300,5,4,1,sqrt,0.6097799875488793,0.6750625337229825
381,300,5,2,2,sqrt,0.6104006483223174,0.6754786412825442
381,300,5,4,2,sqrt,0.6104006483223174,0.6754786412825442
383,300,10,2,4,1,0.6058752298461728,0.6756252488778951
384,300,10,6,4,1,0.6058752298461728,0.6756252488778952
384,300,10,4,4,1,0.6058752298461728,0.6756252488778952
386,500,5,4,1,sqrt,0.6102128536976111,0.6756547521011133
387,500,5,4,2,sqrt,0.6108749888570316,0.6757433675687271
387,500,5,2,2,sqrt,0.6108749888570316,0.6757433675687271
389,500,5,2,1,sqrt,0.6095731852352969,0.6758571462025852
390,300,5,6,1,sqrt,0.610882924824029,0.6762663315000222
391,500,5,6,1,sqrt,0.6110618907961954,0.6766010690002315
392,300,5,2,3,sqrt,0.6125684533999338,0.6767253974929361
392,300,5,6,3,sqrt,0.6125684533999338,0.6767253974929361
394,300,5,4,3,sqrt,0.6125684533999338,0.6767253974929363
395,500,10,2,4,1,0.6076358082720877,0.6767580969393315
397,500,10,6,4,1,0.6076358082720877,0.6767580969393315
395,500,10,4,4,1,0.6076358082720877,0.6767580969393315
398,300,5,6,2,sqrt,0.6117240019032509,0.6768034219401423
399,300,5,6,4,sqrt,0.6151639382077998,0.6768604906332247
399,300,5,4,4,sqrt,0.6151639382077998,0.6768604906332247
399,300,5,2,4,sqrt,0.6151639382077998,0.6768604906332247
402,500,5,6,2,sqrt,0.6118943859631859,0.6771263685143104
403,500,5,6,3,sqrt,0.6129610811471531,0.6771590387096966
403,500,5,4,3,sqrt,0.612961081147153,0.6771590387096966
403,500,5,2,3,sqrt,0.6129610811471531,0.6771590387096966
407,500,5,4,4,sqrt,0.6154115603650688,0.6775662166107153
407,500,5,6,4,sqrt,0.6154115603650689,0.6775662166107153
406,500,5,2,4,sqrt,0.6154115603650688,0.6775662166107153
409,500,5,2,2,log2,0.6314556709497049,0.6896928925289637
409,500,5,4,2,log2,0.6314556709497049,0.6896928925289637
411,500,5,4,1,log2,0.6303266372663585,0.6898780999392277
412,500,5,2,1,log2,0.6302696066629979,0.6906513611753575
413,300,5,2,2,log2,0.63184189446217,0.6907635341327399
413,300,5,4,2,log2,0.6318418944621699,0.6907635341327399
415,300,5,4,1,log2,0.6306731997456358,0.6908347222631164
416,500,5,6,2,log2,0.6317669383081455,0.6910503437868352
417,500,5,6,1,log2,0.6310365904430876,0.6910700099940855
418,500,5,6,4,log2,0.6348162834759946,0.6911953800481134
418,500,5,2,4,log2,0.6348162834759946,0.6911953800481134
418,500,5,4,4,log2,0.6348162834759946,0.6911953800481134
422,500,5,6,3,log2,0.6331861482053546,0.6912099888763245
422,500,5,2,3,log2,0.6331861482053546,0.6912099888763245
421,500,5,4,3,log2,0.6331861482053546,0.6912099888763245
426,300,5,6,4,log2,0.6355064720075693,0.6918229643251007
424,300,5,2,4,log2,0.6355064720075694,0.6918229643251007
424,300,5,4,4,log2,0.6355064720075694,0.6918229643251007
427,300,5,6,2,log2,0.6322161018550329,0.6920200291452114
428,300,5,2,1,log2,0.6306947889862645,0.6920647774607752
429,300,5,6,1,log2,0.6315661462539363,0.6920997509590853
430,300,5,2,3,log2,0.6338587803372072,0.6923437282550396
430,300,5,6,3,log2,0.6338587803372072,0.6923437282550396
430,300,5,4,3,log2,0.6338587803372072,0.6923437282550396
433,500,7,2,1,1,0.6494382701553241,0.7137850439592169
434,300,7,2,1,1,0.6497632929003032,0.7153749419491926
435,500,7,4,1,1,0.6529173851508367,0.7154446330251477
436,500,7,6,1,1,0.6564325504383649,0.7170961148566979
437,300,7,4,1,1,0.6541934044755165,0.7173866560564096
438,300,7,6,1,1,0.6575166119460392,0.7181443016797007
439,500,7,4,2,1,0.6763342319678584,0.7310064059686892
