Train,Test,R^2,RMSE,MAE
dft,dft,0.6923709132723823,0.8198346785315137,0.5549527629010368
dft,exp,0.3744039035303389,0.9939669770579476,0.7895719437461242
exp,exp,0.7451877022533093,0.6343590394811467,0.41043933781039327
exp,dft,0.04174134213897951,1.4469514607712357,1.146862642947535
