rank_test_score,param_knn__n_neighbors,param_knn__weights,param_knn__p,param_knn__metric,train_rmse,test_rmse
202,71,distance,1,manhattan,0.012254261193514002,0.7604883654272476
205,21,uniform,1,manhattan,0.7240206746836452,0.7608654920082695
205,21,uniform,1,minkowski,0.7240206746836452,0.7608654920082695
205,21,uniform,2,manhattan,0.7240206746836452,0.7608654920082695
208,41,distance,1,euclidean,0.012254261213037859,0.7622161238039071
208,41,distance,2,minkowski,0.012254261213037859,0.7622161238039071
208,41,distance,2,euclidean,0.012254261213037859,0.7622161238039071
211,73,distance,2,manhattan,0.012254261193514002,0.7627943261706547
211,73,distance,1,manhattan,0.012254261193514002,0.7627943261706547
211,73,distance,1,minkowski,0.012254261193514002,0.7627943261706547
214,13,uniform,2,euclidean,0.700849900865128,0.7630255726964345
214,13,uniform,1,euclidean,0.700849900865128,0.7630255726964345
214,13,uniform,2,minkowski,0.700849900865128,0.7630255726964345
217,43,distance,2,euclidean,0.012254261214677781,0.7644625860731469
217,43,distance,1,euclidean,0.012254261214677781,0.7644625860731469
217,43,distance,2,minkowski,0.012254261214677781,0.7644625860731469
220,75,distance,1,minkowski,0.012254261193514002,0.7646796725379462
220,75,distance,1,manhattan,0.012254261193514002,0.7646796725379462
220,75,distance,2,manhattan,0.012254261193514002,0.7646796725379462
223,45,distance,1,euclidean,0.012254261216299862,0.7657982860003256
223,45,distance,2,minkowski,0.012254261216299862,0.7657982860003256
223,45,distance,2,euclidean,0.012254261216299862,0.7657982860003256
226,77,distance,1,manhattan,0.012254261193514002,0.7661928688880788
226,77,distance,2,manhattan,0.012254261193514002,0.7661928688880788
226,77,distance,1,minkowski,0.012254261193514002,0.7661928688880788
229,47,distance,1,euclidean,0.012254261218012426,0.7672756950042815
229,47,distance,2,minkowski,0.012254261218012426,0.7672756950042815
229,47,distance,2,euclidean,0.012254261218012426,0.7672756950042815
232,79,distance,1,minkowski,0.012254261193514002,0.7675452275113436
232,79,distance,2,manhattan,0.012254261193514002,0.7675452275113436
232,79,distance,1,manhattan,0.012254261193514002,0.7675452275113436
235,23,uniform,2,manhattan,0.7332335295590783,0.7678546460290224
235,23,uniform,1,minkowski,0.7332335295590783,0.7678546460290224
235,23,uniform,1,manhattan,0.7332335295590783,0.7678546460290224
238,49,distance,2,euclidean,0.012254261219746914,0.7689167974430889
238,49,distance,2,minkowski,0.012254261219746914,0.7689167974430889
238,49,distance,1,euclidean,0.012254261219746914,0.7689167974430889
241,15,uniform,2,minkowski,0.7165142051085419,0.7689597286142856
241,15,uniform,2,euclidean,0.7165142051085419,0.7689597286142856
241,15,uniform,1,euclidean,0.7165142051085419,0.7689597286142856
244,81,distance,2,manhattan,0.012254261193514002,0.7693664403842593
244,81,distance,1,manhattan,0.012254261193514002,0.7693664403842593
244,81,distance,1,minkowski,0.012254261193514002,0.7693664403842593
247,51,distance,2,minkowski,0.0122542612215261,0.7706786771964117
247,51,distance,1,euclidean,0.0122542612215261,0.7706786771964117
247,51,distance,2,euclidean,0.0122542612215261,0.7706786771964117
250,25,uniform,1,manhattan,0.740505306574994,0.7712480334693309
250,25,uniform,1,minkowski,0.740505306574994,0.7712480334693309
250,25,uniform,2,manhattan,0.740505306574994,0.7712480334693309
253,83,distance,1,manhattan,0.012254261193514002,0.7712771123126968
253,83,distance,1,minkowski,0.012254261193514002,0.7712771123126968
253,83,distance,2,manhattan,0.012254261193514002,0.7712771123126968
256,85,distance,1,minkowski,0.012254261193514002,0.7723948723495884
256,85,distance,1,manhattan,0.012254261193514002,0.7723948723495884
256,85,distance,2,manhattan,0.012254261193514002,0.7723948723495884
259,53,distance,1,euclidean,0.012254261223466009,0.7725326929516613
259,53,distance,2,euclidean,0.012254261223466009,0.7725326929516613
259,53,distance,2,minkowski,0.012254261223466009,0.7725326929516613
262,87,distance,1,minkowski,0.012254261193514002,0.7740446953803443
262,87,distance,1,manhattan,0.012254261193514002,0.7740446953803443
262,87,distance,2,manhattan,0.012254261193514002,0.7740446953803443
265,17,uniform,1,euclidean,0.7277214202562494,0.7751426603728055
265,17,uniform,2,euclidean,0.7277214202562494,0.7751426603728055
265,17,uniform,2,minkowski,0.7277214202562494,0.7751426603728055
268,55,distance,2,minkowski,0.012254261225348768,0.7752375833042608
268,55,distance,2,euclidean,0.012254261225348768,0.7752375833042608
268,55,distance,1,euclidean,0.012254261225348768,0.7752375833042608
271,89,distance,1,manhattan,0.012254261193514002,0.7757623668018065
271,89,distance,2,manhattan,0.012254261193514002,0.7757623668018065
271,89,distance,1,minkowski,0.012254261193514002,0.7757623668018065
274,27,uniform,2,manhattan,0.7465997272928289,0.7758265194198443
274,27,uniform,1,manhattan,0.7465997272928289,0.7758265194198443
274,27,uniform,1,minkowski,0.7465997272928289,0.7758265194198443
277,57,distance,1,euclidean,0.012254261227277581,0.7773059224385571
277,57,distance,2,euclidean,0.012254261227277581,0.7773059224385571
277,57,distance,2,minkowski,0.012254261227277581,0.7773059224385571
280,91,distance,1,minkowski,0.012254261193514002,0.7773263967236148
280,91,distance,1,manhattan,0.012254261193514002,0.7773263967236148
280,91,distance,2,manhattan,0.012254261193514002,0.7773263967236148
283,29,uniform,1,minkowski,0.7511725280843781,0.7775180269521711
283,29,uniform,2,manhattan,0.7511725280843781,0.7775180269521711
283,29,uniform,1,manhattan,0.7511725280843781,0.7775180269521711
286,93,distance,1,minkowski,0.012254261193514002,0.778759949191844
286,93,distance,1,manhattan,0.012254261193514002,0.778759949191844
286,93,distance,2,manhattan,0.012254261193514002,0.778759949191844
289,59,distance,2,minkowski,0.012254261229312944,0.779797671109063
289,59,distance,2,euclidean,0.012254261229312944,0.779797671109063
289,59,distance,1,euclidean,0.012254261229312944,0.779797671109063
292,95,distance,1,manhattan,0.012254261193514002,0.7801397662606355
292,95,distance,2,manhattan,0.012254261193514002,0.7801397662606355
292,95,distance,1,minkowski,0.012254261193514002,0.7801397662606355
295,31,uniform,1,minkowski,0.7560706959317484,0.7807354642920925
295,31,uniform,1,manhattan,0.7560706959317484,0.7807354642920925
295,31,uniform,2,manhattan,0.7560706959317484,0.7807354642920925
298,97,distance,1,manhattan,0.012254261193514002,0.7813817426392691
298,97,distance,2,manhattan,0.012254261193514002,0.7813817426392691
298,97,distance,1,minkowski,0.012254261193514002,0.7813817426392691
301,61,distance,2,minkowski,0.012254261231434607,0.7822637177127519
301,61,distance,1,euclidean,0.012254261231434607,0.7822637177127519
301,61,distance,2,euclidean,0.012254261231434607,0.7822637177127519
304,19,uniform,1,euclidean,0.7365891044364303,0.7823075109945988
304,19,uniform,2,minkowski,0.7365891044364303,0.7823075109945988
304,19,uniform,2,euclidean,0.7365891044364303,0.7823075109945988
307,99,distance,1,manhattan,0.012254261193514002,0.7824623668406371
307,99,distance,1,minkowski,0.012254261193514002,0.7824623668406371
307,99,distance,2,manhattan,0.012254261193514002,0.7824623668406371
310,33,uniform,2,manhattan,0.7600796356064203,0.7840839528792289
310,33,uniform,1,minkowski,0.7600796356064203,0.7840839528792289
310,33,uniform,1,manhattan,0.7600796356064203,0.7840839528792289
313,63,distance,1,euclidean,0.012254261233591201,0.784917190981617
313,63,distance,2,euclidean,0.012254261233591201,0.784917190981617
313,63,distance,2,minkowski,0.012254261233591201,0.784917190981617
316,65,distance,2,euclidean,0.012254261235806602,0.7864753290017584
316,65,distance,1,euclidean,0.012254261235806602,0.7864753290017584
316,65,distance,2,minkowski,0.012254261235806602,0.7864753290017584
319,21,uniform,1,euclidean,0.7446523837274034,0.7865047537137198
319,21,uniform,2,euclidean,0.7446523837274034,0.7865047537137198
319,21,uniform,2,minkowski,0.7446523837274034,0.7865047537137198
322,35,uniform,1,minkowski,0.7645992649832801,0.7871213217488904
322,35,uniform,1,manhattan,0.7645992649832801,0.7871213217488904
322,35,uniform,2,manhattan,0.7645992649832801,0.7871213217488904
325,67,distance,2,minkowski,0.012254261238024502,0.7881277078944954
325,67,distance,1,euclidean,0.012254261238024502,0.7881277078944954
325,67,distance,2,euclidean,0.012254261238024502,0.7881277078944954
328,37,uniform,2,manhattan,0.7689836159313779,0.789064569850311
328,37,uniform,1,manhattan,0.7689836159313779,0.789064569850311
328,37,uniform,1,minkowski,0.7689836159313779,0.789064569850311
331,69,distance,1,euclidean,0.012254261240260654,0.7891418008570431
331,69,distance,2,minkowski,0.012254261240260654,0.7891418008570431
331,69,distance,2,euclidean,0.012254261240260654,0.7891418008570431
334,23,uniform,1,euclidean,0.7511804505686667,0.7897102101984044
334,23,uniform,2,minkowski,0.7511804505686667,0.7897102101984044
334,23,uniform,2,euclidean,0.7511804505686667,0.7897102101984044
337,71,distance,2,euclidean,0.012254261242554104,0.7905607703300268
337,71,distance,2,minkowski,0.012254261242554104,0.7905607703300268
337,71,distance,1,euclidean,0.012254261242554104,0.7905607703300268
340,5,distance,1,chebyshev,0.012254261193514002,0.7911755490467927
340,5,distance,2,chebyshev,0.012254261193514002,0.7911755490467927
342,39,uniform,2,manhattan,0.7724003986717947,0.791500761952786
342,39,uniform,1,minkowski,0.7724003986717947,0.791500761952786
342,39,uniform,1,manhattan,0.7724003986717947,0.791500761952786
345,73,distance,2,euclidean,0.012254261244971379,0.7916741694767087
345,73,distance,1,euclidean,0.012254261244971379,0.7916741694767087
345,73,distance,2,minkowski,0.012254261244971379,0.7916741694767087
348,25,uniform,2,euclidean,0.7565920979903621,0.792091944214793
348,25,uniform,2,minkowski,0.7565920979903621,0.792091944214793
348,25,uniform,1,euclidean,0.7565920979903621,0.792091944214793
351,75,distance,1,euclidean,0.01225426124742935,0.7932469446218188
351,75,distance,2,minkowski,0.01225426124742935,0.7932469446218188
