rank_test_score,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_lgbm__subsample,param_lgbm__colsample_bytree,param_lgbm__reg_alpha,param_lgbm__reg_lambda,train_rmse,test_rmse
89,0.05,-1,300,1.0,0.7,0.0,0.3,0.1611044268995489,0.45283907036345483
91,0.25,5,300,0.7,0.7,0.1,0.0,0.10407957409975924,0.45284659362354407
91,0.25,5,300,1.0,0.7,0.1,0.0,0.10407957409975924,0.45284659362354407
93,0.1,9,200,0.7,0.7,0.3,0.3,0.14882533552613567,0.4528874264480793
93,0.1,9,200,1.0,0.7,0.3,0.3,0.14882533552613567,0.4528874264480793
95,0.1,9,300,0.7,0.7,0.0,0.3,0.12068503467914393,0.45298454161297147
95,0.1,9,300,1.0,0.7,0.0,0.3,0.12068503467914393,0.45298454161297147
97,0.1,7,200,0.7,0.7,0.3,0.1,0.16813549328031668,0.4529909091368359
97,0.1,7,200,1.0,0.7,0.3,0.1,0.16813549328031668,0.4529909091368359
99,0.1,9,300,1.0,1.0,0.3,0.3,0.11229263536062227,0.4530108775471905
99,0.1,9,300,0.7,1.0,0.3,0.3,0.11229263536062227,0.4530108775471905
101,0.05,9,300,1.0,0.7,0.0,0.3,0.18381912902623557,0.4530780628400849
101,0.05,9,300,0.7,0.7,0.0,0.3,0.18381912902623557,0.4530780628400849
103,0.05,9,300,1.0,0.7,0.1,0.0,0.18045491805518113,0.45312814223775716
103,0.05,9,300,0.7,0.7,0.1,0.0,0.18045491805518113,0.45312814223775716
105,0.1,-1,300,0.7,1.0,0.1,0.0,0.10313154238811502,0.4531409938155504
105,0.1,-1,300,1.0,1.0,0.1,0.0,0.10313154238811502,0.4531409938155504
107,0.2,-1,200,0.7,1.0,0.3,0.1,0.09362869483785001,0.4531665565916594
107,0.2,-1,200,1.0,1.0,0.3,0.1,0.09362869483785001,0.4531665565916594
109,0.1,9,200,0.7,0.7,0.3,0.0,0.14838061275492684,0.4531744098064073
109,0.1,9,200,1.0,0.7,0.3,0.0,0.14838061275492684,0.4531744098064073
111,0.1,9,300,0.7,1.0,0.0,0.3,0.11762601874519105,0.4533021455506504
111,0.1,9,300,1.0,1.0,0.0,0.3,0.11762601874519105,0.4533021455506504
113,0.05,9,300,0.7,1.0,0.3,0.1,0.17492186920310876,0.45333555704526457
113,0.05,9,300,1.0,1.0,0.3,0.1,0.17492186920310876,0.45333555704526457
115,0.1,-1,200,0.7,0.7,0.1,0.0,0.1335311729870663,0.4533563047158747
115,0.1,-1,200,1.0,0.7,0.1,0.0,0.1335311729870663,0.4533563047158747
117,0.05,9,300,0.7,0.7,0.3,0.0,0.17745158437272818,0.45338032250972204
117,0.05,9,300,1.0,0.7,0.3,0.0,0.17745158437272818,0.45338032250972204
