Model,Error_Type,Train_set,Test_set,R²,RMSE,MAE
Stacking XGBoost,Train,meta,meta,0.99447062349745,0.08751001657219822,0.05073339237905731
Stacking XGBoost,Test,meta,dft,0.5372061676265114,0.9938498561877006,0.7943830567212776
Stacking XGBoost,Test,meta,exp,0.870736783130448,0.4355431170730432,0.2725698298707978
Stacking XGBoost,Test,meta,mix,0.6394212320656161,0.8302465413089001,0.6135976947420179
