Train,Test,R^2,RMSE,MAE
dft,dft,0.4201186408003349,1.125607264939841,0.9012648501226298
dft,exp,0.14144601099106946,1.0870633455897631,0.8449307646501432
exp,exp,0.4923484653008765,0.8358991789714695,0.5534026235662775
exp,dft,-0.2065032609860391,1.6236094238807341,1.2453981531257392
