rank_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_max_features,train_rmse,test_rmse
151,200,10,0.01,0.5,0.21331207441180297,0.6092202228939051
152,200,10,0.01,sqrt,0.23823610117694158,0.6110030423251427
153,500,5,0.01,log2,0.3986709035824992,0.6121736365084464
154,300,10,0.2,sqrt,0.01225426119371615,0.6126050134946126
155,500,10,0.2,0.5,0.0122542611935187,0.613282359028828
156,300,10,0.2,0.5,0.012254261206068465,0.6132823671806777
157,200,10,0.01,log2,0.2526727944134224,0.613450780920906
158,300,3,0.05,log2,0.44597976753437746,0.6164768651540733
159,500,4,0.01,0.5,0.4365910484761449,0.6200648845566488
160,500,4,0.01,1.0,0.4284096399423825,0.6222448405960694
161,200,3,0.05,0.5,0.45255653968896004,0.6243266434085484
162,200,7,0.01,0.25,0.3605694841723876,0.6265755050218191
163,300,5,0.01,0.25,0.43048348717293206,0.6297233462822898
164,200,3,0.05,sqrt,0.48286006980129503,0.6301156612244468
165,500,4,0.01,sqrt,0.4761277770488852,0.6340304917747085
166,500,10,0.01,1.0,0.030858933725394597,0.6341977472828748
167,300,10,0.05,1.0,0.012493190962613636,0.6349633333249713
168,200,10,0.05,1.0,0.013799343357402925,0.6350835242739911
169,200,7,0.01,1.0,0.33988584986802667,0.6372103632018995
170,200,3,0.05,log2,0.5009164163980991,0.6384277535795296
171,500,10,0.1,1.0,0.012254264899987996,0.6388697342966638
172,300,10,0.1,1.0,0.012255568734327812,0.638872143996291
173,200,10,0.1,1.0,0.012289395796143684,0.6388884939898042
174,200,7,0.01,sqrt,0.39260090389711194,0.6390391279063767
175,200,10,0.2,1.0,0.012254298236907461,0.639667939190592
176,300,10,0.01,1.0,0.09679730998900594,0.6402833227461712
177,300,5,0.01,sqrt,0.46293164602507864,0.6413061694300499
178,300,4,0.01,0.5,0.5133500589146103,0.656117492764131
179,300,4,0.01,1.0,0.5064834204584251,0.6568773927492875
180,200,10,0.01,1.0,0.2068565749866017,0.6603308855300657
181,300,4,0.01,0.25,0.526825333310379,0.6620186717566806
182,500,3,0.01,0.5,0.5429925835559489,0.6629781518450693
183,200,5,0.01,0.25,0.5200687983456469,0.6744092201409189
184,300,4,0.01,sqrt,0.5562524484090071,0.6746655846287986
185,200,5,0.01,1.0,0.4981101961762483,0.6747818898987271
186,500,3,0.01,sqrt,0.5761448402405568,0.676249863043504
187,500,3,0.01,log2,0.5908303028432067,0.6825126596193364
188,300,4,0.01,log2,0.5773926882565873,0.6860425653006172
189,200,5,0.01,sqrt,0.552093448294038,0.6884313364826847
190,200,4,0.01,1.0,0.5872422868573662,0.697206565206916
191,200,4,0.01,0.5,0.5937058843281294,0.7007353235342221
192,200,5,0.01,log2,0.5762068140183644,0.7030430855287623
193,300,3,0.01,0.5,0.6159700469997224,0.704374191408429
194,300,3,0.01,0.25,0.6252918058552128,0.7088023640568476
195,200,4,0.01,sqrt,0.6369419138461436,0.7257505010030334
196,200,4,0.01,log2,0.6571928644447441,0.7379568277011586
197,200,3,0.01,1.0,0.6809777032730912,0.7490098721822093
198,200,3,0.01,0.5,0.6867852827184963,0.7523181914759532
199,200,3,0.01,0.25,0.696689332246814,0.7585018269698709
200,200,3,0.01,sqrt,0.723042598014733,0.7755514619820171
