rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
29,500,10,0.05,0.25,0.5,0.25485490591262694,0.649996116882557
30,100,10,0.05,0.5,1.0,0.3476933268434778,0.6499970835988821
31,100,10,0.05,0.25,1.0,0.35887152667281746,0.6505729110194557
32,100,10,0.1,sqrt,1.0,0.28917598721163346,0.6509601682928892
33,500,10,0.05,log2,0.5,0.2545600059052712,0.6515180192590229
34,500,7,0.05,log2,1.0,0.40528743801230804,0.6520327029964427
35,200,10,0.1,sqrt,0.75,0.24600552570704387,0.6524524826007694
36,500,7,0.05,0.5,0.5,0.3817882769746701,0.6525091143590147
37,200,10,0.05,0.25,0.5,0.33254795894973527,0.6525761818927794
38,500,10,0.05,sqrt,0.5,0.25340680695659207,0.6527125792637928
39,500,10,0.1,sqrt,1.0,0.1907362971634965,0.6530986344979773
40,500,7,0.05,sqrt,0.75,0.3918737443282033,0.6540574511038499
41,100,10,0.1,0.25,0.75,0.29847287825767926,0.6540656457186376
42,200,10,0.1,0.25,0.75,0.2444887571518435,0.6543259692648363
43,200,10,0.1,0.5,0.75,0.24628919643261177,0.6547887320559778
44,500,10,0.01,sqrt,1.0,0.3827098956610623,0.654914716629133
45,500,10,0.1,log2,1.0,0.19087471569078518,0.6551230022660512
46,200,7,0.1,0.25,1.0,0.4082015208862066,0.6552941296917862
47,200,7,0.1,0.5,1.0,0.40155600171085265,0.6554071353387989
48,100,10,0.1,0.5,0.75,0.29855130668722996,0.6554128189542306
49,100,10,0.05,0.5,0.75,0.37302442589021,0.656386659962678
50,200,10,0.05,sqrt,0.5,0.34580215080055315,0.658350612632243
51,200,10,0.1,0.5,0.5,0.27861831324356423,0.6588311189323663
52,100,10,0.05,0.25,0.75,0.3813930014968064,0.6590940840610315
53,500,10,0.01,0.5,0.5,0.40972328052985446,0.6591737349055407
54,500,10,0.1,sqrt,0.75,0.2101224942117567,0.6595534694204204
55,500,7,0.1,0.5,0.5,0.31263570661297724,0.659953407479356
56,500,10,0.01,0.25,0.5,0.4172388633986302,0.6610189381504654
57,200,10,0.1,0.25,0.5,0.27658888403884185,0.6615278459572459
58,200,7,0.1,0.25,0.75,0.40566051500243494,0.6615518348733875
59,500,10,0.05,1,1.0,0.2931762742432189,0.6615861916749727
60,500,7,0.1,0.25,0.5,0.3152546270080491,0.6616433872514914
61,200,10,0.05,log2,0.5,0.360587744770743,0.6617229371666311
62,100,10,0.1,log2,0.75,0.32831774900556243,0.6618314534629214
63,100,10,0.05,sqrt,1.0,0.39095312009054,0.6627032279129034
64,500,10,0.1,log2,0.75,0.2094816233835834,0.6627230472169084
65,500,10,0.1,0.25,0.75,0.21494074384693404,0.6627278576197676
66,500,5,0.1,0.5,1.0,0.4364868111890445,0.6629663573801999
67,500,10,0.01,log2,1.0,0.4059290638920263,0.6635139418883772
68,500,7,0.1,sqrt,0.5,0.32745792649874306,0.6639499359354337
69,100,10,0.1,0.25,0.5,0.34446821748043915,0.6644240072954035
70,500,10,0.05,1,0.75,0.31321880551588355,0.6656807385300307
71,200,10,0.1,sqrt,0.5,0.27824177468047223,0.6658404637056011
72,500,10,0.1,1,1.0,0.2152442465409525,0.6663026955418584
73,500,7,0.05,log2,0.5,0.4283418745479756,0.6672174163525793
74,200,10,0.1,log2,0.5,0.28344751771018195,0.6682932767303437
75,200,7,0.1,sqrt,0.75,0.43297719241459276,0.6684787952948227
76,500,10,0.1,0.5,0.5,0.23781982537560417,0.6685375756698919
77,200,7,0.1,log2,1.0,0.4448180655279346,0.6694759968766103
78,500,10,0.05,1,0.5,0.3402890960201159,0.6696183087248162
79,500,10,0.01,log2,0.75,0.4268134951169947,0.6698256786694573
80,100,10,0.05,log2,1.0,0.4090749477834967,0.6698832974951098
81,200,7,0.1,0.5,0.5,0.42303882778332996,0.6699986403397649
82,100,10,0.05,0.5,0.5,0.4175708752235682,0.6703168313858446
83,100,10,0.05,0.25,0.5,0.423525339594385,0.6705748430840069
84,500,5,0.1,sqrt,1.0,0.48128080098488873,0.6706036831675178
85,500,10,0.1,1,0.75,0.2418201811583652,0.6710947636435166
86,500,10,0.01,sqrt,0.5,0.4427673475208662,0.6714850918398558
87,100,10,0.1,sqrt,0.5,0.3581752101958189,0.6717019271963459
88,500,10,0.1,sqrt,0.5,0.22709068096904983,0.6726863277305822
89,200,7,0.1,0.25,0.5,0.4294729256579891,0.6737787915710719
90,500,10,0.1,log2,0.5,0.22557693125015207,0.6738281714788579
91,500,5,0.1,0.5,0.5,0.45137801816951334,0.6750306774485586
92,200,7,0.1,log2,0.75,0.4529998649245619,0.6760514050100366
93,500,5,0.1,sqrt,0.75,0.48104231554408217,0.6762563832709543
94,100,10,0.1,log2,0.5,0.3727080550420986,0.6775316275970179
95,100,10,0.05,log2,0.75,0.43432293752093426,0.678022711359214
96,200,10,0.1,1,1.0,0.33472466568095527,0.6788586485010242
97,500,10,0.01,log2,0.5,0.46205892405638216,0.6803669512198304
98,200,7,0.05,0.25,0.75,0.5088573403957996,0.6807678174382398
99,200,7,0.1,sqrt,0.5,0.4601862841460599,0.6810708666456499
100,100,10,0.05,sqrt,0.5,0.4502561528764633,0.6817326514438304
101,500,7,0.1,1,1.0,0.4491245665186604,0.6820861767942269
102,200,7,0.05,0.25,1.0,0.5136023546207904,0.6831958686742583
103,200,10,0.1,1,0.75,0.3577287818789675,0.683653113919791
104,500,5,0.1,log2,0.75,0.5034782103300555,0.684062598837379
105,200,7,0.05,0.5,0.5,0.5178996962732094,0.6860609860961282
106,100,7,0.1,0.25,1.0,0.5174015092621722,0.6862241411761296
107,500,7,0.1,1,0.75,0.4584135951398378,0.688456552784212
108,500,5,0.05,0.5,0.75,0.5379699396307137,0.6887674304810282
109,200,7,0.05,sqrt,1.0,0.537676647391629,0.6901787562888236
110,200,7,0.1,log2,0.5,0.4797007966459607,0.6909269654049944
111,100,10,0.05,log2,0.5,0.47357212082744315,0.6920020665311817
112,500,5,0.05,0.5,1.0,0.5518503898708859,0.6921157405461096
113,100,7,0.1,0.25,0.75,0.5171464062929361,0.6922268720637867
114,500,4,0.1,0.5,0.75,0.5428097686985555,0.692920287990726
115,500,5,0.05,0.25,0.75,0.5530778923670097,0.6936356693347233
116,200,7,0.05,0.25,0.5,0.5295139915699425,0.693637886756213
117,100,7,0.1,0.5,0.5,0.524261929874331,0.6947383259344045
118,500,5,0.05,0.25,1.0,0.5625634319600117,0.6958520613274533
119,500,4,0.1,0.5,1.0,0.5491748888093432,0.6959854784311692
120,500,5,0.05,0.5,0.5,0.5468119609625739,0.6960290851582428
121,500,7,0.1,1,0.5,0.47728805498862903,0.6976946702558022
122,200,7,0.05,sqrt,0.75,0.5435620275925311,0.6985961075094135
123,100,7,0.1,sqrt,1.0,0.5416362529366948,0.6992972869286238
124,100,7,0.1,0.25,0.5,0.5358965389190243,0.7009384480407298
125,200,7,0.05,log2,1.0,0.5545373807445269,0.7022197884884367
126,200,10,0.05,1,1.0,0.46667934349585266,0.7022508876128006
127,500,4,0.1,0.5,0.5,0.5511414278874224,0.7023989359887506
128,100,7,0.1,sqrt,0.75,0.5475803581747433,0.7033232405167632
129,200,10,0.05,1,0.75,0.4785487588973442,0.7047851630370368
130,500,5,0.05,sqrt,0.75,0.5854556626915721,0.7071486035482335
131,200,7,0.05,sqrt,0.5,0.5593129205616426,0.707370556606204
132,200,5,0.1,0.5,0.75,0.5773936969491107,0.7074131247382808
133,500,5,0.05,sqrt,1.0,0.5893265266088072,0.7084166076630175
