rank_test_score,param_en__alpha,param_en__l1_ratio,train_rmse,test_rmse
1,0.1,0.6500000000000001,0.7425074018526223,0.7514797308703651
2,0.15000000000000002,0.4,0.7425787390603833,0.7520772393797718
3,0.2,0.3,0.7465939755449178,0.756059010492496
4,0.1,0.7000000000000001,0.7473985552974359,0.7560743515451498
5,0.15000000000000002,0.45,0.750185330061788,0.7591665664961411
6,0.1,0.7500000000000001,0.7524096318293805,0.7609244058584557
7,0.25,0.25,0.7524607666942684,0.7616027345239379
8,0.3,0.2,0.7530915793231732,0.7621559756242454
9,0.2,0.35000000000000003,0.7567676947322378,0.7657099125673325
10,0.1,0.8,0.757767010617301,0.766142061784105
11,0.15000000000000002,0.5,0.7578653110002456,0.7663484902332439
12,0.4,0.15000000000000002,0.7586339673221493,0.7675010910989913
13,0.1,0.8500000000000001,0.7634618453818182,0.7717296074652912
14,0.15000000000000002,0.55,0.7655851663249951,0.7737028714190163
15,0.25,0.3,0.7652467598800916,0.7737850921480182
16,0.35000000000000003,0.2,0.7657149753285775,0.7741192211993809
17,0.2,0.4,0.7673395776602436,0.7757264819276204
18,0.6000000000000001,0.1,0.7674797556750906,0.7761399810115968
19,0.3,0.25,0.7681031099340704,0.7764727780107976
20,0.45,0.15000000000000002,0.7682466609112539,0.7765875224120995
21,0.1,0.9000000000000001,0.7694802449562906,0.7775726943205652
22,0.15000000000000002,0.6000000000000001,0.773184668484648,0.7809380697322619
23,0.1,0.9500000000000001,0.774527696907225,0.7820479407711007
24,0.6500000000000001,0.1,0.7741098501999054,0.782407613428276
25,0.1,1.0,0.7784616059861539,0.7852451374203059
26,0.2,0.45,0.7776627898487345,0.7854470612666147
27,0.5,0.15000000000000002,0.7776874521616324,0.785645588990875
28,0.4,0.2,0.7782901023072057,0.7862637210662456
29,0.25,0.35000000000000003,0.7785544665881403,0.7864681487371792
30,0.15000000000000002,0.6500000000000001,0.7797736766442158,0.7870470637084805
31,0.7000000000000001,0.1,0.7805614657513845,0.7885156545876023
32,0.35000000000000003,0.25,0.7833927330256236,0.7910409396492011
33,0.3,0.3,0.7834682570315457,0.7910411274717086
34,0.15000000000000002,0.7000000000000001,0.7855148937294133,0.7923777566642048
35,0.2,0.5,0.786026252158389,0.7929737623867493
36,0.7500000000000001,0.1,0.7868439618294264,0.7945180662646003
37,0.55,0.15000000000000002,0.7869295815593476,0.7945384194787376
38,0.25,0.4,0.7893928037502339,0.7962745222501979
39,0.15000000000000002,0.7500000000000001,0.7906892020915924,0.7970994729603335
40,0.45,0.2,0.7898198231713784,0.7971742670337374
41,0.2,0.55,0.7928632308306223,0.7994624187242606
42,0.8,0.1,0.7930304045185371,0.8004347471144796
43,0.15000000000000002,0.8,0.7956514324996251,0.8013810553343121
44,0.3,0.35000000000000003,0.7954026123178783,0.8021065127771316
45,0.6000000000000001,0.15000000000000002,0.7951904656259554,0.8022758175310094
46,0.4,0.25,0.7960308167095318,0.8028358129352107
47,0.25,0.45,0.797797510702271,0.804193020076604
48,0.35000000000000003,0.3,0.7976886581337456,0.8043511229857121
49,0.15000000000000002,0.8500000000000001,0.8002755927459863,0.8053395349221408
50,0.2,0.6000000000000001,0.7995136665603471,0.8056468935415053
51,0.8500000000000001,0.1,0.7988432365076201,0.8058981585747393
52,0.5,0.2,0.7995539553572059,0.8063293968113379
53,0.15000000000000002,0.9000000000000001,0.8047829449094129,0.809130558952601
54,0.6500000000000001,0.15000000000000002,0.8025706442700403,0.8092063172521827
55,0.9000000000000001,0.1,0.804139400347758,0.8108383783114254
56,0.3,0.4,0.8053501436649529,0.811501545461491
57,0.2,0.6500000000000001,0.8061510599999449,0.8116927132098894
58,0.25,0.5,0.8060693710268441,0.8119410255255902
59,0.15000000000000002,0.9500000000000001,0.8083566791009357,0.8123405090591612
60,1.5,0.05,0.806276589394472,0.8128660040926535
61,0.45,0.25,0.8070406362205553,0.8134191143770777
62,0.15000000000000002,1.0,0.8113034433446963,0.8150572989096158
