rank_test_score,param_et__n_estimators,param_et__max_depth,param_et__min_samples_split,param_et__min_samples_leaf,param_et__max_features,train_rmse,test_rmse
1,500,,7,1,0.5,0.24805210272526626,0.6381235012848582
2,300,,10,1,0.5,0.29886734522505326,0.6383689214780361
3,500,,5,2,0.5,0.25699534029258747,0.6393839543714026
4,300,,5,2,0.5,0.25711507316233184,0.6395063850834352
5,100,,10,1,0.5,0.300189329851339,0.6399647013719841
6,100,,7,1,0.5,0.24917348625817734,0.6402066498012418
7,500,,10,2,0.5,0.33782003162315505,0.6415693813528042
8,100,,2,2,0.5,0.24386116298195937,0.642729400948222
9,300,,7,1,0.25,0.2684321396049344,0.6432183804561573
10,100,,7,1,0.25,0.2695704322250425,0.643662837210667
11,300,,5,2,0.25,0.2794971510000831,0.6460498482132181
12,500,,5,2,0.25,0.279294815833922,0.6460914734383323
13,300,,10,1,0.25,0.32766002978485065,0.6462254529227606
14,500,,10,1,0.25,0.32752828065850764,0.646235817772703
15,300,,5,1,0.25,0.22657533201835214,0.6463375813912381
16,500,,5,1,0.25,0.2263392345027921,0.6464469726296519
17,500,,2,2,0.25,0.2627626704520734,0.6465624628061394
18,500,,7,2,0.25,0.3178987947065254,0.6465860411718534
19,100,,10,1,0.25,0.32872822920935046,0.6475106401349204
20,100,,5,1,0.25,0.22733637584871463,0.6477905136856377
21,100,,7,2,0.25,0.31906471689962457,0.6478647674050431
22,500,,7,4,0.5,0.3755667301423747,0.6496249770480176
22,500,,5,4,0.5,0.3755667301423747,0.6496249770480176
24,100,,2,2,0.25,0.26384211130668633,0.6497311090315914
25,300,,5,4,0.5,0.3757715975848248,0.6505424770396039
25,300,,2,4,0.5,0.3757715975848248,0.6505424770396039
27,100,,5,4,0.5,0.37684696679103225,0.6517166771462432
27,100,,2,4,0.5,0.37684696679103225,0.6517166771462432
29,300,,10,4,0.5,0.39607963716946293,0.6526585408212522
30,100,,10,4,0.5,0.3972370029813756,0.6538700739676092
31,100,,10,2,0.25,0.3713518165646693,0.6541437570982078
32,500,,2,1,0.5,0.1896409688305945,0.6579552453366381
33,300,,2,1,0.5,0.1896409688305945,0.658277333697701
34,100,,2,1,0.5,0.1896409688305945,0.6593539492818631
35,300,,7,1,sqrt,0.3230040700083494,0.6630153634907844
36,300,,2,1,0.25,0.1896409688305945,0.6636349731546602
37,300,,5,4,0.25,0.4155734366722359,0.6645374604462523
37,300,,2,4,0.25,0.4155734366722359,0.6645374604462523
39,500,,7,4,0.25,0.41554867239302856,0.664563702632231
39,500,,5,4,0.25,0.41554867239302856,0.664563702632231
41,100,,7,1,sqrt,0.3245837018228254,0.6646539155425039
42,100,,2,1,0.25,0.1896409688305945,0.6658837272055006
43,500,,10,4,0.25,0.43407134193874963,0.6679008876979791
44,500,,5,1,log2,0.2870966027703676,0.670754516717867
45,100,,2,2,sqrt,0.3238442897342817,0.6708669633740382
46,100,,5,2,sqrt,0.34360221826218845,0.6718875536240936
47,300,,10,1,sqrt,0.39513520236862276,0.6726109847863339
48,500,,10,1,sqrt,0.39503664294743795,0.6727034038532071
49,300,,7,2,sqrt,0.38701780911043726,0.6741051583870206
50,100,,5,1,log2,0.28868641268620676,0.6741639534858582
51,100,,10,1,sqrt,0.39698171133703936,0.6755098102322346
52,100,,7,2,sqrt,0.38858405965499015,0.6764247891496745
53,500,,7,1,log2,0.35596935594378204,0.6766175596320068
54,300,,7,1,log2,0.3562037008483124,0.6769318465464728
55,500,,2,1,sqrt,0.1896409688305945,0.6792051927954585
56,100,,7,1,log2,0.3575666035010424,0.6803718661886644
57,100,,2,1,sqrt,0.1896409688305945,0.6832655432157902
58,300,,2,2,log2,0.36825648654720616,0.6847685147307683
59,500,,10,2,sqrt,0.44421776585474054,0.6856135215196021
60,300,,10,2,sqrt,0.4444456438653654,0.6857509205519354
