composition,band_gap
O24W8,1.1309833333333332
F32S8W8,3.1988
O24W12,0.8673
C2Cl36W12,1.0921
F2Pb1,4.39684375
F4Pb1,1.87985
I2Pb1,2.366375
Pb1S1,0.467253125
Pb1Se1,0.3989633333333334
O2Pb2,1.614766666666667
O4Pb2,0.1072571428571428
Cl2F2Pb2,3.466675
Cl4O8Pb2,1.2679
Cl4O12Pb2,4.3401
Br2F2Pb2,2.5854
F2I2Pb2,2.1366666666666667
I4Pb2,2.3802250000000003
Pb2S2,1.13855
O6Pb2S2,3.215
O6Pb2Se2,2.8192
O12Pb2Se4,1.2612
C2Cl2O4Pb2,2.9272
C4O8Pb2,2.791
C4N4Pb2S4,2.6439
C8O8Pb2,3.0135
O8Pb2W2,3.357409090909091
I6Pb3,2.3978
F8Pb4,4.364827272727273
F12Pb4,1.8946
O4Pb4,2.1858833333333334
O6Pb4,1.0395
Cl2F2O2Pb4,2.5647
Cl8Pb4,3.8013
N8O24Pb4,3.614275
I8Pb4,2.3831
I8O24Pb4,2.702
O10Pb4S2,3.13005
Pb4S4,0.8595692307692306
O12Pb4S4,3.6325
O16Pb4S4,3.993228571428572
N8Pb4S8,1.3818
Br6Pb4Se1,1.8822
N4O16Pb4Se2,2.487
Pb4Se4,0.4024
O16Pb4Se4,2.6324
O20Pb4Se8,3.2102
C4O12Pb4,3.38405
C4N8Pb4,1.7158
C4Cl4N4Pb4S4,3.1076
C16N24Pb4,3.6418
O10Pb4W2,3.103
O16Pb4W4,1.713
F8I2Pb5,2.892
I10Pb5,2.4003
I6Pb5S2,1.8419
O8Pb6,1.0154
Cl8I4O12Pb6,3.3283
O12Pb6S2,2.46072
O10Pb6Se2,2.46505
Br4O12Pb6Se4,2.91735
I4O12Pb6Se4,2.7185
Cl2F12Pb7,4.206
Br2F12Pb7,4.0434
I14Pb7,2.385
F8O4Pb8,1.86765
O12Pb8,0.9187
Cl16Pb8,3.172
O24Pb8Se8,3.3254
C4F8O12Pb8,3.47
C4O16Pb8,3.4267
C4Cl8O12Pb8,3.216733333333333
Br8C4O12Pb8,2.79565
C4O24Pb8S8,2.7275333333333336
I20Pb10,2.3608
O16Pb12,1.133809090909091
Cl8O8Pb12,2.45588
Br8O8Pb12,2.393333333333333
I8O8Pb12,2.268
I24Pb12,2.355
Br20O8Pb18,2.9191
F6Rh2,2.0752
Cl6Rh2,2.1953
Br6Rh2,1.8024
F9Rh3,1.2626
O6Rh4,1.7271
F28Pb8Rh4,2.7824
Rh8S12,0.6042
O24Rh16,1.66
O2Pt1,2.0414
Pt1S2,1.2496666666666667
Cl6Pt1S2,2.158
F6Pb1Pt1,2.3941
F8Pt2,1.5603
O2Pt2,0.1986
O4Pt2,1.06526
N4Pt2,0.5561
Pt2S2,0.89735
Cl16Pt2S4,1.893
C16F24Pt2S8,1.0671
F24O8Pt4,0.18395
N8Pt4,1.3058666666666667
I8Pt4,1.5137
I12Pt4,0.3508
C4I8O4Pt4,1.7688
C8Cl8O8Pt4,3.2458
O16Pb8Pt4,0.6811
Cl12Pt6,2.3977
Cl32Pt8,0.3345
I32Pt8,0.815
Pt8S8,0.6225
I32Pt12,0.8446
O2Ru1,1.4858
C1Ru1,0.9586666666666668
F6Ru2,0.5261
F8Ru2,1.6051
O8Ru2,2.4016
Cl16Ru2S6,2.0279
Br4C6O6Ru2,2.2908
C8O8Ru2,2.1252
C8F12O8Ru2,1.38395
C8I4O8Ru2,2.1795
F16O4Ru4,0.9494
Cl12Ru4,0.5444
Ru4S8,1.2725545454545455
Ru4Se8,0.8637428571428571
C12O12Ru4Se4,2.1881
Cl18Ru6,1.0924
O32Ru8,2.4723
Cl6Pd1S2,2.0364
Br6Pd1Se2,1.4604
F6Pd1Pt1,2.034
F4Pd2,1.33655
F8Pd2,1.0332
O2Pd2,0.192725
Cl4Pd2,1.5967285714285713
Br4Pd2,1.2792
I4Pd2,1.1857
O8Pd2S2,2.0392
O6Pd2Se2,1.7854
O8Pd2Se2,2.1175
Cl4Pd2Se12,1.3391
F8Pb2Pd2,1.9165
O4Pb2Pd2,0.2638333333333333
Br12Pb4Pd2,1.7329
Cl4O12Pb4Pd2Se4,2.0182
F8Pd4,1.7721333333333331
Cl4O2Pd4,1.4743
I8Pd4,1.1884
Pd4S8,0.6509750000000001
N8Pd4S24,1.3127
Pd4Se8,0.5258999999999999
Cl8Pd4Se32,1.3859
Cl12Pd6,2.0421
Pd8S8,0.27275
C16Cl8O16Pd8,1.1239
Pd24Se24,0.3988
O4Os1,3.298
Cl4Os1,1.2818
Cl12Os1S2,1.0225
Br12Os1Se2,1.0279
C1Os1,0.4066
O8Os2,3.375666666666667
F12O8Os2Xe2,2.6095
Cl24Os2Se4,1.0197
C4Os2,0.1203
C6I4O6Os2,1.9013
C8Cl4O8Os2,2.6487
F24Os4,0.5567
F16O4Os4,1.3987
F20O4Os4,1.51125
F8O12Os4,2.3557
Cl16O4Os4,1.5437
Os4S8,0.43842
Cl16Os4S12Se4,1.4417
Os4Se8,0.24995
C4Os4,0.3908
C12I4O12Os4,2.3856
C20O20Os4Pt2,2.5141
C20O20Os6S2,2.795
Br32Os8,0.2871
C12Os8,0.1883
F6Ir2,2.0513
F8Ir2,0.8621
Cl6Ir2,2.455
Br6Ir2,1.9975
F24Ir4,1.5372
Ir4N8,0.22215
Ir8S12,1.1024
Ir8S16,0.5997
Ir8Se16,0.1095
C20Ir16,0.4922
Cl1H1,2.8268
Br1H1,1.3182
F14H2I2N2O2,2.3832
F4H2N2O8S4,5.7349
C4H2N6,4.4076
Cl2H2O2Pb2,2.9261
F4H4O4,3.2153
F8H4N4,4.4237
Br1H4N1,3.9641
H4I4O12,3.2238
F8H4N4O12Xe4,2.3413
H4O8S2,4.73925
F4H4O12S4,3.0562
Cl8H4N4O16S8,4.051500000000001
C4H4,4.9527
C4H4N4,3.6444
C4F12H4N4O12S6,5.9215
C8H4O8,2.8678
C8Cl4F8H4O4S4,3.6819
Cl4H4O4Pb4,3.1623
Br4H4O4Pb4,3.1057
H4O16Pb8S2,2.7869
C2Cl12H4O8Pb8,3.5821
Cl4H4O12Pb12,2.1641
C16H4O16Os6S4,2.8333
H6I6N4,0.7779
C12F10H6O6Se2,3.4737
Au2C4Cl2H6N2,4.0028
H6N4O4Pt1,2.4779
H6N4O4Pd1,2.579
H8O4,5.5151
H8O8,4.180266666666667
F2H8N2,5.961133333333334
F4H8N2,5.2958
Cl2H8N2O4,2.99635
H8N4O6,3.1206
H8N24,4.0065
Br2H8N2,4.2706
H8I2N2O8,2.4219
H8I8O24,3.0519
H8N12O2S8,2.3117
H8N8S24,2.8914
H8O12Se4,4.5127
H8O16Se4,3.38445
C2H8N4O2,5.020923999999999
C2Cl2H8N10,3.3782
C4H8O8,4.8378
C4H8N2O4,2.80005
C8H8N8O4,3.888
C12H8O16,3.4905
Cl12H8N2W2,0.7659
H8O8Pb4,2.2614
C8H8O16Pb4,3.9212
H8O16Pb12,2.8413
Cl6H8N2Pt1,1.9134
C8H8N8O4Pt2,3.4225
H8N4O16Pd2,1.6147
H10N2O6Se2,4.4165
C2H10N2O4,4.9437
