composition,band_gap
Al8Bi4O18,2.800199999999999
Al4C3,1.3154
Al8C2O8,3.823299999999999
Al8Cd2O14,3.0642
Al8Fe4Si10O36,3.862699999999999
Al4In1Ag1Se8,0.6835
Al10B2O18,4.9385
Al5Cu1S8,1.4217
Al6Cd4S1O12,2.7127
Al6Cd4Te1O12,2.5652
Al36Sn6Te60,1.439
Al14Tl6S24,2.7961
Al7Cr1Bi4O18,2.5541
Al32Pb36O84,2.8336
Al1Ag1P2Se6,1.6205999999999992
Al2Ag2O4,1.4090999999999991
Al2Ag2S4,1.8992
Al2Ag2Se4,1.135199999999999
Al1Ag1Sn1Se4,1.1072
Al2Ag2Te4,1.0469
Al1As1,1.503699999999999
Al4As12Se16Cl16,2.1167
Al2As6S10Cl8,2.2534
Al3As3O12,3.865
Al8B8Pb8O32,2.940799999999999
Al4Bi4Cl24,3.7568
Al4Bi4S4Cl16,2.8305
Al4Bi4Se4Cl16,2.542399999999999
Al4Bi4Te4Cl16,2.1634
Al4Br12,4.0992
Al4Br4O4,3.0144
Al4C12N12Cl24,2.5682
Al2Cd2Cl8,2.761
Al2Cl6,5.263
Al2Cl2O2,5.593999999999999
Al2Cr2Fe2O8,1.4767
Al1Cu1P2Se6,0.8799
Al2Cu2Br8,2.1451
Al2Cu2Cl8,2.5112
Al1Cu1Ge1Se4,0.8904999999999991
Al2Cu2O4,1.8148
Al2Cu2S4,1.6756
Al2Cu2Se4,0.8921999999999991
Al2Cu2Sn2S8,0.712699999999999
Al1Cu1Sn1Se4,0.551299999999999
Al2Cu2Te4,1.0186
Al4Fe4P4O20,0.5231
Al1Ga1As2,0.700499999999999
Al4H44S4O40,5.6133
Al2H24Cl6O12,5.3984
Al2H24N6O30,3.5696
Al4H60Br12N20,4.3958
Al4H60N20Cl12,4.9406
Al2H6,2.197699999999999
Al8H24N8Cl24,5.1434
Al2H10Se4O16,4.4382
Al2H12Br2O8,4.837899999999999
Al2H12I2O8,4.2593
Al8H48N16Cl24,5.3867
Al1H6N2F3,5.8135
Al4H4O8,5.546000000000001
Al2H2S2O10,5.6906
Al8Hg16Sb8Cl32,1.1967
Al4I12,3.2639
Al2I2Cl12,2.291
Al4In4Br16,3.5627
Al4In4Cl16,4.186100000000001
Al4In4I16,3.0861
Al6In6S18,2.081299999999999
Al6In6Se18,1.6333000000000002
Al2N2,4.0467
Al4Ni8B4O20,3.621100000000001
Al2Ni2Ag4F14,1.9697
Al1P1,1.6294
Al8P16I72,1.686
Al4P12N12Cl36,3.7338
Al4P4I32,1.4878
Al3P3O12,5.6126000000000005
Al2P2S8,2.8338
Al1Re1Ge1,0.1187
Al2S2Cl6O4,3.9643
Al2S2Cl14,2.4961
Al1Sb1,1.2255
Al4Sb8Se8Cl16,1.121999999999999
Al8Sb16Te16Cl32,1.0432
Al1Sb1O4,1.6178
Al2Se2Cl14,2.5979
Al2Si2Te6,1.2504
Al4Te4Cl28,3.3025
Al2Te2I14,1.8846
Al1Tl1Mo2O8,3.8702
Al2Tl4F10,4.0476
Al4Tl4Br16,4.0998
Al4Tl4Cl16,4.7337
Al2Tl2F8,4.433300000000001
Al4Tl4I16,3.5042
Al8Tl8S16,2.1201
Al8Tl8Se16,1.788999999999999
Al2Tl2Si6O16,4.586
Al6Tl6Si6O24,4.080999999999999
Al2V4O8,0.2716
Al4V8O16,0.161999999999999
Al4V4Mo4O28,2.3841
Al6V6O24,3.0384
Al1W1O4,2.980299999999999
As2Br6F12,1.6272
As2I6F12,1.3305
As2I4F12,0.5218
As16S64F96,1.2407
As1S24I3,2.0753
As8S12O48,4.5714
As8Cl12O4F20,3.3444000000000003
As16H8Pb8F104,4.6104
As8Ir4,0.8155000000000001
As8O12,4.0339
As8O20,1.426
As4Os2,0.6646999999999991
