rank_test_score,param_ridge__alpha,param_nystroem__n_components,train_rmse,test_rmse
203,0.25,400,0.5236406553768694,0.6011034713070981
204,0.9500000000000001,600,0.5322944532423549,0.6023064332391201
205,0.3,400,0.5275889441846335,0.6028138054575367
206,1.0,600,0.5348342226562,0.6037424704992327
207,0.35000000000000003,400,0.5312514700883977,0.6044839528648891
208,0.4,400,0.5346704117294907,0.6061035851099995
209,0.45,400,0.5378792512993728,0.6076697493897836
210,0.5,400,0.5409049123600382,0.6091829093044648
211,0.55,400,0.5437693438860113,0.6106451032110122
212,0.6000000000000001,400,0.5464906744650988,0.6120590439739515
213,0.6500000000000001,400,0.5490840567815058,0.6134276662305009
214,0.7000000000000001,400,0.5515622926149432,0.6147538972259128
215,0.7500000000000001,400,0.5539363018522909,0.6160405434111899
216,0.8,400,0.5562154794852529,0.6172902383987584
217,0.8500000000000001,400,0.5584079711063861,0.6185054237872589
218,0.9000000000000001,400,0.5605208882733584,0.6196883475095116
219,0.9500000000000001,400,0.5625604788937809,0.6208410712684851
220,1.0,400,0.5645322635190826,0.6219654823685973
221,0.1,200,0.5990254438206818,0.6416905525370334
222,0.05,200,0.5977332424291394,0.6417416122467957
223,0.15000000000000002,200,0.6004649910090181,0.6419935667309066
224,0.2,200,0.6019456031100618,0.6424795832624686
225,0.25,200,0.6034237858816559,0.6430695775737006
226,0.3,200,0.6048804541143966,0.64372168919461
227,0.35000000000000003,200,0.6063072309088519,0.6444118040239228
228,0.4,200,0.6077007975622679,0.6451251792278978
229,0.45,200,0.6090603343656626,0.645852393181965
230,0.5,200,0.6103862797661359,0.6465872192467393
231,0.55,200,0.6116796979676988,0.6473254360768395
232,0.6000000000000001,200,0.6129419451078396,0.6480641268943982
233,0.6500000000000001,200,0.6141744892164147,0.6488012489444676
234,0.7000000000000001,200,0.6153788124457946,0.6495353594414484
235,0.7500000000000001,200,0.6165563586113053,0.6502654358350133
236,0.8,200,0.617708506209072,0.6509907548912407
237,0.8500000000000001,200,0.6188365559370357,0.6517108095425955
238,0.9000000000000001,200,0.6199417264943312,0.6524252506192465
239,0.9500000000000001,200,0.6210251550595169,0.6531338453423936
240,1.0,200,0.6220879003373001,0.6538364473342103
