rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,param_colsample_bytree,param_subsample,train_rmse,test_rmse
73,0.2,5,500,0.7,1.0,0.013568534453869874,0.5846402577573431
74,0.2,5,200,0.7,1.0,0.05745887015677424,0.5846792054217714
75,0.2,4,500,1.0,1.0,0.03175069882785306,0.5847630123681352
76,0.1,5,200,0.7,0.5,0.16725696085952785,0.5851250550824836
77,0.2,4,200,0.7,1.0,0.1316091074400323,0.5852083638796169
78,0.2,3,500,0.7,1.0,0.11394492105886674,0.5856895582114988
79,0.1,3,500,0.7,1.0,0.21341586826627967,0.5864790316200625
80,0.1,5,200,1.0,0.5,0.16329271397005882,0.5865215782740019
81,0.1,5,200,0.5,1.0,0.1498558194108234,0.586576461129329
82,0.1,10,500,0.5,0.7,0.012353852349727785,0.5868495513138875
83,0.1,4,200,0.5,1.0,0.2443341387117443,0.5869200753384666
84,0.1,10,200,0.5,0.7,0.014387892197533076,0.5870690653390359
85,0.1,7,500,1.0,1.0,0.012607530371171356,0.5870866067574458
86,0.1,3,500,1.0,1.0,0.21322220406315445,0.5877714861303325
87,0.1,3,500,0.5,1.0,0.2213773848938223,0.5878176398797684
88,0.1,7,200,1.0,1.0,0.03970120281285439,0.5880861440462759
89,0.1,4,200,1.0,0.5,0.24973922930783016,0.588422477477052
90,0.2,7,500,0.7,0.5,0.012933620270818427,0.588612414124019
91,0.1,4,200,0.5,0.7,0.24486902234251473,0.5886346548931288
92,0.1,3,500,0.5,0.7,0.21528570313431575,0.5889730389223634
93,0.2,7,200,0.7,0.5,0.022679838795248337,0.5894412450242474
94,0.1,4,200,0.7,0.5,0.25584710575625663,0.5900306192150792
95,0.1,3,500,0.7,0.5,0.2238887294153668,0.5905714727289635
96,0.1,3,500,1.0,0.5,0.21719261032565165,0.5906246813902476
97,0.1,4,200,0.5,0.5,0.2644607466014188,0.5907372381585426
98,0.1,3,500,0.7,0.7,0.21103657813838064,0.5911245357293834
99,0.2,4,500,0.5,0.7,0.04318240263104207,0.5912461101787835
100,0.2,3,200,0.7,1.0,0.2524951167145112,0.5913386740348942
101,0.1,4,200,1.0,1.0,0.23433803728619923,0.5914295578600164
102,0.2,4,500,0.5,1.0,0.03652952229794166,0.5918199155537885
103,0.1,3,500,0.5,0.5,0.2310940923502957,0.5918949542884715
